id,target
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,1
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,1
418,1
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,1
603,0
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,0
644,1
645,0
646,0
647,1
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,0
675,0
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,1
708,1
709,0
710,0
711,0
712,0
713,1
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,0
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,0
759,0
760,0
761,0
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,1
784,1
785,0
786,1
787,0
788,0
789,0
790,1
791,0
792,1
793,0
794,1
795,1
796,0
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,1
816,1
817,0
818,0
819,1
820,1
821,1
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,0
878,0
879,0
880,0
881,1
882,1
883,0
884,1
885,1
886,0
887,0
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,1
906,1
907,1
908,0
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,1
929,1
930,0
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,0
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,0
962,1
963,0
964,1
965,0
966,0
967,1
968,1
969,0
970,1
971,1
972,1
973,1
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,0
985,1
986,0
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,1
1080,0
1081,0
1082,1
1083,0
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,0
1105,0
1106,1
1107,0
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,1
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,1
1183,1
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,0
1207,1
1208,0
1209,0
1210,1
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,0
1229,0
1230,1
